CORRETORA,,,,Toro,Toro,Binance,Binance,Binance,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,MB,99 Bank,
ASSET,,,,Charles River FIA,Ibovespa,BTC,SOL,SUI,XLU,GLDM,VGK,XLV,IWD,XLC,VIG,CDB 5a 14.1%,LCD 85% - BRDE,Guepardo FIA,Daycoval Classic CP,West Asset BDR,XP CDI Debêntures,Schroder CP HG,Trend Investback,Ibiuna CP,Real Investor FIM,Legacy FIM CP,JGP Deb FIM CP,Tarpon GT 90 FIA,Ascensus 15 18%,Contas Correntes,Resgatados
DATA,TOTAL,DIFF,,R$0.00,R$17.10,R$918.04,-R$68.85,R$103.07,-R$0.12,R$0.06,R$0.00,R$0.00,-R$0.29,-R$0.29,-R$0.12,R$5.05,R$4.70,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$2.31,R$328.86,R$0.00
30-Jun/22,"R$246,584.04","-R$49,394.91",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,752.76",R$0.00,R$0.00,R$0.00,"R$8,787.56",R$188.20,"R$17,044.33",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$4,700.22","R$207,110.97"
31-Jul/22,"R$307,699.08","R$61,115.04",,"R$11,884.85",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,928.93",R$0.00,R$0.00,R$0.00,"R$8,893.67",R$245.49,"R$17,187.91",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$9,423.90","R$251,134.33"
31-Aug/22,"R$328,498.86","R$20,799.78",,"R$13,230.10",R$0.00,"R$1,703.85",R$585.91,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$11,149.65",R$0.00,R$0.00,R$0.00,"R$9,004.41",R$306.88,"R$18,525.84",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$13,398.61","R$260,593.61"
30-Sep/22,"R$329,735.38","R$1,236.52",,"R$13,114.23",R$0.00,"R$1,701.23",R$511.79,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$10,919.48",R$0.00,R$0.00,R$0.00,"R$9,113.90",R$367.19,"R$18,725.20",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$15,623.99","R$259,658.37"
31-Oct/22,"R$331,382.80","R$1,647.42",,"R$14,078.66",R$0.00,"R$1,766.26",R$575.02,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$11,561.74",R$0.00,R$0.00,R$0.00,"R$9,596.20",R$60.30,"R$18,972.42",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$10,683.22","R$264,088.98"
30-Nov/22,"R$309,964.39","-R$21,418.41",,"R$13,857.18",R$0.00,"R$1,451.60",R$476.49,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$10,869.33",R$0.00,R$0.00,R$0.00,"R$9,697.74",R$132.63,"R$19,224.27",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$38,774.28","R$215,480.87"
31-Dec/22,"R$330,375.77","R$20,411.38",,"R$13,797.25",R$0.00,"R$1,430.26",R$453.27,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$10,670.22",R$0.00,R$0.00,R$0.00,"R$9,730.18",R$199.04,"R$19,304.91",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$45,230.57","R$229,560.07"
31-Jan/23,"R$326,115.52","-R$4,260.25",,"R$14,459.85",R$0.00,"R$1,928.23",R$578.18,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$10,467.01",R$0.00,R$0.00,R$0.00,"R$9,805.24",R$268.33,"R$19,428.81",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$36,317.21","R$232,862.66"
28-Feb/23,"R$326,878.51",R$762.99,,"R$16,782.99",R$0.00,"R$2,000.17",R$614.21,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$10,142.61",R$0.00,R$0.00,R$0.00,"R$9,789.63",R$338.15,"R$19,511.07",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$41,625.11","R$226,074.57"
31-Mar/23,"R$344,244.85","R$17,366.34",,"R$16,736.41",R$0.00,"R$2,343.43",R$659.95,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$10,107.46",R$0.00,R$0.00,R$0.00,"R$9,837.90",R$397.28,"R$19,600.62",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$47,602.01","R$236,959.79"
30-Apr/23,"R$337,277.51","-R$6,967.34",,"R$16,965.41",R$0.00,"R$2,392.40",R$679.66,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$10,353.27",R$0.00,R$0.00,R$0.00,"R$9,879.87",R$454.62,"R$19,802.06",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$44,283.77","R$232,466.45"
31-May/23,"R$371,887.48","R$34,609.97",,"R$20,916.76","R$70,120.93","R$2,237.18",R$674.85,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$11,800.24",R$0.00,R$0.00,R$0.00,"R$10,005.38",R$514.71,"R$19,954.40",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$45,804.53","R$189,858.50"
30-Jun/23,"R$400,925.98","R$29,038.50",,"R$25,336.42","R$71,795.13","R$2,461.56",R$659.98,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$12,819.95",R$0.00,R$0.00,R$0.00,"R$10,068.91",R$582.89,"R$19,995.01",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$62,473.79","R$194,732.34"
31-Jul/23,"R$407,624.47","R$6,698.49",,"R$26,847.62","R$73,482.96","R$2,273.62",R$632.19,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$14,272.53",R$0.00,R$0.00,R$0.00,"R$10,211.33",R$55.86,"R$20,247.07",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$46,724.11","R$212,877.18"
31-Aug/23,"R$402,508.80","-R$5,115.67",,"R$30,025.25","R$62,552.82","R$2,148.66",R$591.89,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$18,445.50",R$0.00,R$0.00,R$0.00,"R$10,369.80",R$118.30,"R$20,533.19",R$0.00,R$0.00,"R$5,037.59",R$0.00,R$0.00,"R$39,827.25","R$212,858.55"
30-Sep/23,"R$396,696.75","-R$5,812.05",,"R$30,869.60","R$61,347.73","R$2,192.20",R$669.98,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,004.19",R$0.00,"R$23,077.81",R$0.00,R$0.00,R$0.00,"R$10,478.29",R$180.87,"R$20,818.08",R$0.00,R$0.00,"R$10,998.32",R$0.00,R$0.00,"R$28,358.96","R$199,700.72"
31-Oct/23,"R$394,132.65","-R$2,564.10",,"R$29,459.12","R$60,327.92","R$2,793.21",R$719.96,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,092.86",R$0.00,"R$22,474.10",R$0.00,R$0.00,R$0.00,"R$10,584.39",R$240.84,"R$21,016.09",R$0.00,R$0.00,"R$11,042.57",R$0.00,R$0.00,"R$38,137.43","R$189,244.16"
30-Nov/23,"R$387,851.69","-R$6,280.96",,"R$31,693.72","R$63,458.68","R$3,390.70","R$1,020.25",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,162.10",R$0.00,"R$25,445.77",R$0.00,R$0.00,R$0.00,"R$10,574.35",R$300.51,"R$20,901.12",R$0.00,R$0.00,"R$11,268.22","R$4,136.78",R$0.00,"R$31,018.31","R$176,481.18"
31-Dec/23,"R$383,091.33","-R$4,760.36",,"R$33,796.90","R$65,828.06","R$3,675.55","R$1,100.88",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,268.21",R$0.00,"R$26,131.01",R$0.00,R$0.00,R$0.00,"R$10,628.60",R$303.12,"R$21,184.65",R$0.00,R$0.00,"R$11,429.07","R$4,572.47",R$0.00,"R$20,760.86","R$175,411.95"
