data,Charles River FIA,Ibovespa,BTC,SOL,SUI,XLU,GLDM,VGK,XLV,IWD,XLC,VIG,CDB 5a 14.1%,LCD 85% - BRDE,Guepardo FIA,Daycoval Classic CP,West Asset BDR,XP CDI Debêntures,Schroder CP HG,Trend Investback,Ibiuna CP,Real Investor FIM,Legacy FIM CP,JGP Deb FIM CP,Tarpon GT 90 FIA,Ascensus 15 18%,Contas Correntes,Resgatados
2025-01-08,30751.75,61242.94,11118.16,2152.69,1235.71,141.26976,72.71959,134.463795,57.51347,435.45913,424.238485,122.200795,9458.75,11111.09,31657.12,20457.59,26113.14,8105.38,11766.58,111.88,24042.72,21647.05,10457.73,12429.2,14829.27,0,10071.57,8197.591895
2025-01-09,30396.7,61386.32,10861.99,2059.9,1257.62,140.29056,72.21554,133.53177,57.11482,432.44078,421.29791,121.35377,9463.7,11115.39,31080.15,20466.92,26121.15,8114.06,11772.39,111.93,24055.97,21694.08,10462.91,12443.17,14725.95,0,10074.73,8206.33037
2025-01-10,30396.7,61134.77,11086.44,2067.44,1367.82,139.718028,73.028882,132.341989,56.874747,426.773959,415.557503,119.662517,9468.66,11119.69,30884.57,20478.42,25870.3,8118.42,11794.39,111.98,24067.99,21649.97,10467.77,12448.92,14731.56,0,10077.88,8203.039683
2025-01-11,30396.7,61134.78,11094.33,2068.28,1301.15,139.718028,73.028882,132.341989,56.874747,426.773959,415.557503,119.662517,9468.66,11119.69,30884.57,20478.42,25870.3,8118.42,11794.39,111.98,24067.99,21649.97,10467.77,12448.92,14731.56,0,10077.88,8203.039683
2025-01-12,30396.7,61134.78,11094.33,2068.28,1301.15,139.718028,73.028882,132.341989,56.874747,426.773959,415.557503,119.662517,9468.66,11119.69,30884.57,20478.42,25870.3,8118.42,11794.39,111.98,24067.99,21649.97,10467.77,12448.92,14731.56,0,10077.88,8203.039683
2025-01-13,30069.89,60735.49,10745.61,1946.62,1177.97,138.269272,72.432578,131.856607,57.713985,431.419672,416.395714,120.680248,9473.61,11123.99,30529.46,20488.46,25717.81,8122.8,11794.94,112.03,24051.95,21635.87,10470.94,12448.56,14427.6,0,10387.25,8205.430707
2025-01-14,30071.38,60512.11,11224.85,2038.7,1202.56,139.347505,72.19135,131.76438,56.78244,432.238125,413.189315,120.541355,9478.57,11128.3,30436.45,20496.57,25658.06,8128.48,11801.16,112.08,24055.08,21593.5,10473.12,12449.86,14363.74,0,10390.58,8213.45621
2025-01-15,30147.91,61278.68,11455.99,2200.46,1224.91,140.483317,72.505571,132.574716,56.688369,434.912684,417.042868,121.34571,9483.54,11132.6,30543.08,20507.13,25393.58,8133.62,11803.58,112.14,24069.41,21676.89,10478.59,12459.39,14426.85,0,8261.55,8224.878013
2025-01-16,31137.78,61161.02,11426.59,2275.12,1286.8,143.672712,72.98236,133.780888,56.877988,434.516464,415.335976,121.53674,9488.5,11136.91,31463.14,20517.39,25787.2,8145.03,11809.48,112.19,24090.87,21729.22,10495.54,12384.5,14837.41,0,13744.57,2752.720096
2025-01-17,30668.62,61199.07,11080.49,2349.29,1249.06,145.022979,73.087218,134.962881,57.088026,442.886724,420.58482,122.963487,9493.47,11141.22,30854.71,20527.99,25899.67,8140.22,11814.56,112.25,24099.59,21733.44,10502.95,12467.63,14578.45,0,15302.77,2754.768633
